27,NEXTRA BRIDGE MALL NEWSAGENCY (ALBERT),68-70 Bridge Mall,Ballarat   Vic  3350,,03 5331 3352,03 5332 9744,nextrabridgemall@bigpond.com,32,N
28,SOUTHERN CROSS BUSNESS MACHINES PTY LTD,205 Armstrong Street South,Ballarat   Vic  3350,,03 5331 3022,03 5333 1917,mail@scbm.com.au,32,N
29,NEXTRA BRIDGE MALL NEWSAGENCY (DANA),68-70 Bridge Mall,Ballarat   Vic  3350,,03 5331 3352,03 5332 9744,nextrabridgemall@bigpond.com,32,N
30,TELSTRA CORPORATION LIMITED,GPO Box 9901,Melbourne   Vic  3001,,1800 819 398,,,32,N
31,LIFELINE AUSTRALIA,PO Box 173,Deakin West   ACT   2600,,02 6215 9400,02 6215 9401,finance@lifeline.org.au,32,N
32,JANET MCKAY,203 Scott Parade,Ballarat   Vic  3350,,03 5331 8686,,janetmckay27@gmail.com,34,N
33,TANYA DANIELS - THE GOOD GUYS,31 Mair Street,Ballarat   Vic  3350,,03 5332 2244,03 5333 7075,jennymoss@thegoodguys.com.au,-1,N
34,WINES OFFICE FURNITURE,31 Eastwood Street,Ballarat   Vic  3350,,03 5333 5977,03 5333 3625,admin@winesofficefurniture.com.au,32,N
35,WAREHOUSE SALES PTY LTD,22-24 Curtis Street,Ballarat   Vic  3350,,03 5332 6300,03 5332 6990,kim.lace@warehousesales.com.au,33,N
36,TELSTRA LICENCED SHOP,PO Box 1453,Ballarat Mail Centre Vic 3353,,03 5337 9379,03 5339 2741,plusitadmin@plusit.com.au,32,N
37,EUREKA BLINDS & CURTAINS,70 Mair Street,Ballarat  Vic  3350,,03 5333 4213,03 5331 9417,eurekablinds@netconnect.com.au,32,N
38,OFFICEWORKS (UCB),GPO Box 1816,Melbourne   Vic  3001,,1300 633 423,1300 361 001,eft@officeworks.com.au,32,N
39,KERLEYS AUCTION ROOMS PTY LTD,185 Moorabool Street,Geelong   Vic  3220,,03 5223 1533,,mcreaney@ucare.org.au,-1,N
40,MID CITY MOTOR INN,19 Doveton Street North,Ballarat   Vic  3350,,03 5327 7588,03 5327 7599,reception@midcity.biz,32,N
41,BALLARAT LAUNDRY,711 Sturt Street,Ballarat   Vic  3350,,03 5331 6476,03 5331 6179,ballarat.laundry@bigpond.com,32,N
42,THE HAYMARKET,Cnr Doveton & Market Streets,Ballarat   Vic  3350,,,,,32,N
43,CITY OF BALLARAT,PO Box 655,Ballarat  Vic   3353,,03 5320 5500,03 5333 4189,accountsreceivable@ballarat.vic.gov.au,34,N
44,CBA HEF,,,,,,,33,N
45,BIG W (UCB),PO Box 277,Rosny   7018,,03 6245 6600,03 6245 6687,ar@woolworths.com.au,-1,N
46,BALLARAT WINDOWS & DOORS PTY LTD,259 Ring Road,Wendouree   Vic  3355,,03 5339 5027,03 5338 1062,info@ballaratwindows.com.au,32,N
47,MCKNIGHT'S RETRAVISION,"Shop 9, Old Geelong Road",Hoppers Crossing  Vic  3029,,03 5339 9322,03 5339 9799,,33,N
48,JK PERSONNEL PTY LTD,C/- Bibby Financial Services,Locked Bag 2706,Strawberry Hills  NSW   2012,03 5332 9955,03 5334 4522,PABLOB@BIBBY.COM.AU,32,N
49,ONLINE SYSTEM REPAIRS (UCB),PO Box 87W,Ballarat   Vic  3350,,03 5331 6300,03 5331 6377,admin@onlinesystemrepairs.com,32,N
50,FRONTIER SOFTWARE,18 Little Collins Street,Melbourne   Vic  3000,,03 9639 0777,03 9639 2025,sales@frontiersoftware.com.au,-1,N
51,THE PRINTER WIZARDS,102 Armstrong Street South,Ballarat   Vic  3350,,03 5333 2455,03 5333 2466,,32,N
52,THE COURIER,PO Box 21,Ballarat   Vic  3353,,03 5320 1200,03 5320 1209,accounts@thecourier.com.au,32,N
53,ZELCO PTY LTD,89 Humffray Street North,Ballarat   Vic  3350,,03 5331 4251,03 5331 4251,No email,-1,N
54,MILESTONE CHEMICALS AUSTRALIA PTY LTD,PO Box 5021,West Heidelberg DC  Vic   3081,,03 9450 4555,03 9457 5518,headoffice@milestonechemicals.com.au,32,N
55,NEVERFAIL SPRINGWATER LTD (UCB),GPO Box 145,Sydney  NSW  2001,,1800 009 913,,HOremittances@neverfail.com.au,-1,N
56,PEACHS FRUIT MARKET,33-35 Coronet Street,Wendouree   Vic 3355,,03 5339 4244,03 5339 3482,mpetrie@peachs.com.au,34,N
57,RADMAC OFFICE CHOICE (LIFELINE),110 Armstrong Street South,Ballarat  Vic  3350,,03 5333 4617,03 5333 4673,radmac@ncable.net.au,32,N
58,RADMAC OFFICE CHOICE (WAUBRA),110 Armstrong Street South,Ballarat  Vic  3350,,03 5333 4617,03 5333 4673,radmac@ncable.net.au,32,N
59,RODD LOCKSMITHS PTY LTD (UCB),13 Armstrong Street North,Ballarat   Vic  3350,,03 5331 2244,03 5333 2240,accounts@roddlock.com.au,32,N
60,SUPPORT OFFICE SOFTWARE SERVICES,PO Box 2444,Mail Centre Bendigo  Vic  3554,,03 5447 2299,03 5463 5021,,32,N
61,SPOTLIGHT STORES PTY LTD,PO Box 1135,South Melbourne   Vic  3205,,03 9675 4000,03 9675 4583,ar.au@spotlight.com.au,32,N
62,WILSONS FRUIT & VEGETABLES (UCB),85-91 Mair Street,Ballarat   Vic  3350,,03 5329 1900,03 5329 1999,sally@wilsonsfruit.com.au,34,N
63,WILSONS FRUIT & VEGETABLES (YUILLE),85-91 Mair Street,Ballarat   Vic  3350,,03 5329 1900,03 5329 1999,sally@wilsonsfruit.com.au,34,N
64,UCA SYNOD OF VICTORIA & TASMANIA,130 Little Collins Street,Melbourne   Vic  3000,,03 9251 5200,03 9654 1019,accounting@victas.uca.org.au,34,N
65,J & P POWELL,17 Edwardes Street,Black Hiil   Vic  3350,,03 5331 1238,,jpowell@ncable.net.au,34,N
66,OLIVERS REFRIGERATION,PO Box 6201,Highton    Vic  3216,,0418 525 375,03 5245 7233,gmoliverptyltd4@bigpond.com,32,N
67,T&P PRE SCHOOL EQUIPMENT,Factory 1,1 Egan Road,Dandenong   Vic  3175,03 9791 9149,03 9791 9149,tpequip@bigpond.net.au,32,N
68,THE EDUCATIONAL EXPERIENCE (YUILLE),PO Box 860,Newcastle   NSW  2300,,02 4923 8222,03 4942 1991,deposit@edex.com.au,32,N
69,GEELONG MILK & PIVOT ICE,PO Box 220,Geelong  Vic  3220,,03 5229 2035,03 5222 4841,gmpi@bigpond.net.au,34,N
70,WENDOUREE WEST COMMUNITY HOUSE,12-14 Violet Grove,Wendouree   Vic  3355,,03 5339 5069,03 5339 9185,wwchlc@ncable.net.au,-1,N
71,VICTORIA ELECTRICITY PTY LTD,GPO Box 870,Melbourne  Vic  3001,,1300 136 749,,,-1,N
72,ANTENNA INSTALLATIONS,18 John Street,Wendouree  Vic   3355,,03 5339 4980,,,32,N
73,FURNITURE SHOP ST GEORGE CARD PURCHASE,Furniture Shop,C/- 105 Dana Street,Ballarat   Vic   3350,Ext 2718,,mcreaney@ucare.org.au,-1,N
74,GRAMPIANS COMMUNITY HEALTH (YRIPP),8-22 Patrick Street,Stawell   Vic  3380,,03 5358 7400,03 5358 4113,,32,N
75,BALLARAT TOTAL HOME CARE SERVICE,10 Leicester Court,Alfredton 3350,,417596913,,mkjscn@hotmail.com,32,N
77,MDB CONSULTING PTY LTD,PO Box 1183,Surrey Hills    Vic   3127,,03 9897 1730,,,32,N
78,NICOLE NAGEL MASSAGE THERAPIST,PO Box 255,Ballan   Vic  3342,,03 5368 9585,03 5368 9585,niknagel@bigpond.com,34,N
79,LANCE ELLIOTT CLEANING SERVICES PTY LTD,PO Box 2794,Bakery Hill   Vic  3354,,03 5331 3131,03 5331 3127,lanceel@bigpond.net.au,32,N
80,AJ'S HOME SERVICES,42 Fay Drive,Smythes Creek   VIc  3351,,03 53 424 245,,,32,N
81,ANSTAT PTY LTD (12758),224-226 Normanby Road,Southbank  Vic  3006,,03 9278 1111,03 9278 1145,finance@anstat.com.au,32,N
82,CHRISTIES FURNITURE,1105 Latrobe Street,Ballarat   Vic  3350,,03 5335 7057,03 5335 7057,scottjchristie@hotmail.com,32,N
83,CENTACARE CATHOLIC DIOCESE OF BALLARAT,PO Box 2537,Bakery Hill   Vic   3354,,,,accounts@centacareballarat.org.au,32,N
84,CHARIOT PTY LTD,"Level 1, 5 Leigh Street",Adelaide   SA  5000,,1300 137 425,08 8291 8811,,32,N
85,SED CONSULTING,PO Box 1529,Ballarat Mail Centre  Vic  335,,03 5332 7233,03 5332 7399,accounts@sedconsulting.com.au,32,N
86,CHUBB FIRE & SECURITY (REIDS),GPO Box 1605,Sydney   NSW  2001,,1800 107 644,,ar.cfs.aus@chubb-sharedservices.com,32,N
87,BALLARAT TOURIST ASSOCIATION,PO Box 2004,Bakery Hilll  Vic  3354,,,,,34,N
88,DARREN CURTIS CARPET LAYER,821 Barkly Street,Ballarat   Vic  3350,,0418 531 886,,,32,N
89,FAST TRACK EMPLOYEES PTY LTD,PO Box 647,Ballarat  Vic  3350,,03 5333 3212,03 5333 3089,accountsreceivable@a43.com.au,32,N
90,YOUNG'S AUCTIONS,229 Camberwell Road,East Hawthorn  Vic  3123,,ext 2718,,Don't email,32,N
91,GRAEME W COLE,416 Landsborough Street,Ballarat  Vic   3350,,03 5332 2487,,ccole.91@bigpond.com,34,N
92,SWIM & SURVIVAL ACADEMY,403 Dowling Street,Wendouree   Vic  3355,,353399911,03 5339 9916,no email,34,N
93,CBA THM,,,,,,,-1,N
94,BALLARAT REGIONAL INDUSTRIES (UCB VG),PO Box 36,Wendouree Vic 3355,,5342 6500,5342 6555,sharony@bri.org.au,32,N
95,BALLARAT REGIONAL INDUSTRIES (121 ALBERT),PO Box 36,Wendouree   Vic  3355,,03 5342 6500,03 5342 6555,sharony@bri.org.au,32,N
96,MARK R. PAGE (UCB),13 St Helena Road,Sulky  Vic  3352,,03 5334 6220,,page@giant.net.au,34,N
97,MARK R. PAGE (YUILLE),13 St Helena Road,Sulky  Vic  3352,,03 5334 6220,,page@giant.net.au,34,N
98,CENTRAL AUTOMOTIVE REPAIR & SERVICING,128 Skipton Street,Ballarat  Vic  3350,,03 5331 6666,03 5333 4822,cars.ballarat@gmail.com,32,N
99,THE CLEANERS ROOM PTY LTD (UCB),PO Box 27 BK,Black Hill  Vic  3350,,03 5339 1999,03 5339 9933,tcroom@tpg.com.au,32,N
100,H W S ELECTRICAL SERVICES,PO Box 159,Wendouree  Vic  3355,,03 5339 9668,03 5339 9858,admin@hwse.com.au,32,N
101,BELLBIRD KID-Z EDUCATIONAL (YUILLE),28-30 Hydrive Close,Dandenong South  Vic  3175,,03 8795 6999,03 9799 9533,enquire@bellbirdkidz.com.au,32,N
102,STEVE PLATER,41 Victoria Street,Sebastopol  Vic  3356,,,,stevep@ncable.net.au,34,N
103,ATTACHE SOFTWARE AUSTRALIA PTY LIMITED,PO Box 1070,North Sydney   NSW  2059,,02 9929 8700,02 9925 0481,admin@attachsoftware.com,32,N
104,SECTROL SYSTEMS PTY LTD (REIDS),PO Box 354,Ballarat  Vic  3353,,03 5329 0802,03 5329 0809,admin@sectrol.com.au,32,N
105,NATIONAL AUSTRALIA BANK,,,,1300 369 852,02 8754 4092,,-1,N
106,FOSTER BROTHERS TYREPOWER,PO Box 56R,Redan,,03 5336 1000,03 5335 8650,ballarat@tyrepower.com.au,32,N
107,SENSIS PTY LTD (UCB),GPO Box 9850,Melbourne  Vic  3001,,13 23 78,,,32,N
108,ACE HYGIENE SERVICES (UCB),PO Box 328,North Geelong   Vic  3215,,03 5282 5171,03 5282 5170,acehygiene@ozemail.com.au,32,N
109,WOOLWORTHS LIMITED,Accounts Receivable,PO Box 277,Rosny Park  TAS  7018,03 6245 6600,03 6425 6687,ar@woolworths.com.au,-1,N
110,GREG RIENIETS PLUMBING,PO Box 78 BK,Black Hill   Vic  3350,,03 5339 2117,03 5339 2187,,-1,N
111,MAUREEN ARNUP,C/- 105 Dana Street,Ballarat   Vic  3350,,Ext 2727,03 5332 1055,,-1,N
112,RODD LOCKSMITHS PTY LTD (REIDS),13 Armstrong Street North,Ballarat   Vic  3350,,03 5331 2244,03 5333 2240,accounts@roddlock.com.au,-1,N
113,L & H GROUP,PO Box 392,Heidelberg  Vic  3084,,03 5332 1871,03 5333 2519,webmaster@landhgroup.com.au,-1,N
114,CARTRIDGE WORLD BALLARAT,1213a Sturt Street,Ballarat   Vic  3350,,03 5338 8630,03 5338 8631,cartridgeworld.ballarat@bigpond.com,-1,N
115,DOWN & DEAD PEST CONTROL (UCB/SHOPS),PO Box 1195,Ballarat MC  3354,,03 5334 7452,03 5334 7542,downdead@bigpond.com,-1,N
116,GOLD BUS BALLARAT (UCB),9-11 Martin Drive,Delacombe   Vic  3356,,03 5335 5005,03 5335 6644,accounts@goldbus.com.au,-1,N
117,BALLARAT STATIONERS (BUNINYONG),891 La Trobe Street,Ballarat  Vic  3350,,03 5335 1300,03 5335 1333,accounts@ballaratstationers.com.au,-1,N
118,TOSHIBA (AUSTRALIA) PTY LTD,PO Box 350,North Ryde  NSW  1670,,,,corpcrediteid@toshiba-tap.com,-1,N
119,STATE SUPPLY,636 Wellington Road,Mulgrave   Vic  3170,,03 9518 5600,03 9561 8941,,-1,N
120,RAPIDCLEAN GEELONG,120 Bellarine Highway,Newcomb  Vic  3219,,03 5248 2660,03 5248 2705,accounts@rapidcleangeelong.com.au,-1,N
121,BELLBIRD KID-Z EDUCATIONAL (ST LUKES),28-30 Hydrive Close,Dandenong South  Vic  3175,,03 8795 6999,03 9799 9533,,-1,N
122,STEMS FLOWER MARKET,7 Mair Street East,Ballarat  Vic  3350,,03 5334 4284,03 5334 4577,stems@carnations.com.au,-1,N
123,UFS DISPENSARIES LTD (MEMBERS),Membership Manager,UFS Dispensaries Ltd,PO Box 301,03 5327 7700,03 5332 7565,members@ufs.com.au,-1,N
124,UFS DISPENSARIES LTD,PO Box 301,Ballarat   Vic  3353,,03 5327 7755,03 5332 7565,accounts@ufs.com.au,-1,N
125,BALLARAT NEWSAGENCY,33 Armstrong Street North,Ballarat   Vic  3350,,03 5331 1771,03 5331 6146,,-1,N
126,STAFF REIMBURSEMENTS,PO Box 608,Ballarat  Vic  3353,,03 5332 1286,03 5332 1055,,-1,N
127,COLES CORPORATE SERVICES GIFT CARD A/C,GPO Box 5290,Melbourne   Vic  3001,,1300 725159,,giftcards@coles.com.au,34,N
128,THE WATTLE,35 Lydiard Street South,Ballarat  Vic  3350,,03 5331 1313,03 5331 1313,dianemitch@live.com,-1,N
129,WALLER & CHESTER (UCB),PO Box 147,Ballarat  Vic  3353,,03 5332 1616,03 5332 7380,sales@wchester.com.au,-1,N
130,SOUTHERN CROSS BUSINESS MACHINES,205 Armstrong Street South,Ballarat  Vic  3350,,03 5331 3022,03 5333 1917,mail@scbm.com.au,-1,N
131,ARARAT UNITING CARE,PO Box 303,Ararat   Vic  3377,,03 5352 1059,,ghucker@ucare.org.au,34,N
132,SHOE BONANZA PTY LTD,110 Armstrong Street South,Ballarat   Vic  3350,,03 5332 4238,,,32,N
133,HEF MONTHLY TRANSFER TO CBA,HEF Program,PO Box 608,Ballarat   Vic  3353,03 5337 2773,03 5332 1055,lderbyshire@ucare.org.au,34,N
134,JOHN LITRAS,210 Drummond Street South,Ballarat  Vic  3350,,0408 478 519,03 5333 7078,jlitras@ncable.net.au,34,N
135,AUSTRALIA POST (UCB),Accounts Receivable Team,GPO Box 5218,Melbourne  Vic  3001,03 9106 9251,03 9005 0561,dlhqcmgovtvictas@auspost.com.au,-1,N
136,COMMERCE BALLARAT,27 Doveton Street North,Ballarat  Vic  3350,,03 5333 3233,03 5364 2911,rsvp@commerceballarat.com.au,-1,N
137,SITA AUSTRALIA PTY LTD (JUBILEE),GPO Box 4238,Sydney   NSW   2001,,1300 888 901,,pay2sita@sita.com.au,-1,N
138,CAROLYN MCCANN,C/- 105 Dana Street,Ballarat   Vic  3350,,,,,-1,N
139,SOUTHGATE FINANCIAL SERVICES,PO Box 406,South Melbourne  Vic  3205,,,,support@southgatesalpack.com.au,-1,N
140,CASH,PO Box 608,Ballarat  Vic  3350,,03 5332 1286,03 5332 1055,,-1,N
141,AUTISM VICTORIA,Victorian Autism Conference 10,PO Box 3376,Caroline Springs  Vic  3023,,,,-1,N
142,RECALL INFORMATION MANAGEMENT PTY LTD,PO Box 634,Virginia QLD   4014,,1300 889 474,1300 854 305,remittance@recall.com,-1,N
143,BALLARAT JOINERY SUPPLIES,20-22 Old Creswick Road,Ballarat   Vic  3350,,03 5333 3008,03 5331 1411,,-1,N
144,RADMAC OFFICE CHOICE (ALFREDTON),110 Armstrong Street South,Ballarat  Vic  3350,,03 5333 4617,03 5333 4673,radmac@ncable.net.au,32,N
145,NEVERFAIL SPRINGWATER LTD (LIFELINE),GPO Box 145,Sydney  NSW  2001,,1800 009 913,02 8839 2609,HOremittances@neverfail.com.au,-1,N
146,BALLARAT REGIONAL INDUSTRIES (LIFELINE),PO Box 36,Wendouree  Vic  3355,,03 5342 6500,03 5342 6555,sharony@bri.org.au,32,N
147,NEXTRA BRIDGE MALL NEWSAGENCY (LIFELINE),68-70 Bridge Mall,Ballarat  Vic  3350,,03 5331 3352,03 5332 9744,nextrabridgemall@bigpond.com,32,N
148,SCOTT PETROLEUM,PO Box 656,Ballarat   Vic  3353,,03 5336 2212,03 5335 5664,asearby@scottpetroleum.com.au,32,N
149,OFFICEWORKS (TABOR),GPO Box 1816,Melbourne  Vic  3001,,1300 633 423,,eft@officeworks.com.au,32,N
150,ST GEORGE BANK LTD,Central Square Shopping Centre,Armstrong Street South,Ballarat  Vic  3350,1800 028 208,,,-1,N
151,KANGAROO EDUCATIONAL PTY LTD (ALFREDTON),PO Box 1055,Brookvale  NSW  2100,,1800 251 475,1800 780 089,,32,N
152,BIG W (ALFREDTON),Accounts Receivable,PO Box 277,Rosny Park  Tas  7018,03 6245 6600,03 6245 6687,ar@woolworths.com.au,-1,N
153,PRICELINE PHARMACY BALLARAT,Shop 2 Bridge Mall,Ballarat  Vic  3350,,03 5336 3411,03 5332 6390,laurens@bfcpg.com.au,-1,N
154,CORRECTLY DUNN CLEANING (ALFREDTON),1867 Sturt Street,Alfredton  Vic   3350,,03 5337 6880,,Jesoliv@bigpond.com.au,-1,N
155,SOUTHERN CROSS BUSINESS  MACHINES,205 Armstrong Street South,Ballarat  Vic  3350,,03 5331 3022,03 5333 1917,mail@scbm.com.au,-1,N
156,SECTROL SYSTEMS PTY LTD (ALFREDTON),PO Box 354,Ballarat  Vic  3353,,03 5329 0802,03 5329 0809,admin@sectrol.com.au,-1,N
157,OUR COMMUNITY,PO Box 354,North Melbourne  Vic  3051,,03 9320 6800,03 9326 6859,,-1,N
158,TIEMAN INDUSTRIES PTY LTD,PO Box 68,Reservoir   Vic  3073,,03 8365 9200,03 9305 1123,,-1,N
159,GARY STERNBERG PLUMBING,38 Kerry Way,Invermay Park  Vic  3352,,0438 719 601,,Sternberg.Plumbing@gmail.com,-1,N
160,PEACHS FRUIT MARKET (BREEZEWAY),33-35 Coronet Street,Wendouree   Vic 3355,,03 5339 4244,03 5339 3482,mpetrie@peachs.com.au,-1,N
161,BENDIGO REGIONAL INSTITUTE OF TAFE,PO Box 170,Bendigo  Vic  3552,,1300 554 248,,,-1,N
162,.05 LICENCE BACK PTY LTD,PO Box 327,Maryborough  Vic  3465,,1800 253 14,,admin@05licenceback.com.au,-1,N
163,STEVENS CLEANING SERVICE,6 Rodney Avenue,Mount Clear   Vic  3350,,03 5330 2705,,barrystevens2@bigpond.com.au,-1,N
164,W H AMAD PTY LTD,PO Box 526,Carlton North   Vic  3054,,03 9350 2055,03 9350 2922,liz@whamad.com.au,-1,N
165,NEWBOUND PTY LTD,15 Muriel Avenue,Rydalmere   NSW   2116,,02 9684 6999,02 9684 6989,,-1,N
166,COMPUTERS@BALLARAT,29A Eastwood Street,Ballarat  Vic  3350,,03 5332 1999,03 5332 1196,bianca@computers.ballarat.net,-1,N
167,BELLBIRD KID-Z EDUCATIONAL (BUNINYONG),28-30 Hydrive Close,Dandenong South  Vic  3175,,03 8795 6999,03 9799 9533,enquire@bellbirdkidz.com.au,-1,N
168,CLEANAWAY (BUNINYONG),PO Box 112R,Redan  Vic  3350,,03 5335 8805,03 5441 2745,clwy.regvic@cleanaway.com.au,-1,N
169,RETRO CLEANING SERVICES PTY LTD (BUNINYONG),PO Box 173N,Ballarat North  Vic  3350,,04327 758 826,0353 424 738,,-1,N
170,BUNINYONG FOODWORKS SUPERMARKET,318 Learmonth Street,Buninyong   Vic  3357,,03 5341 3263,03 5341 8381,buninyong@stores.foodworks.com.au,-1,N
172,BUNINYONG POST PTY LTD,2-3/403 Warreneheip Street,Buninyong   Vic  3357,,,,,-1,N
173,BERRY ANDERSON & CO (UCB),PO Box 114,Ballarat  Vic  3353,,03 5332 1968,03 5331 1851,berryanderson@westnet.com.au,-1,N
174,SLEEPEEZEE BEDDING AUSTRALIA PTY LTD,27-29 Jessica Road,Campbellfield  Vic  3061,,03 9357 9666,03 9553 1146,accounts@sleepeezee.com.au,-1,N
175,MELISSA MACPHERSON,C/- 105 Dana Street,Ballarat  Vic  3350,,03 5337 2780,03 5332 1055,mmacpherson@ucare.org.au,-1,N
176,BALLARAT STATIONERS (UCB),891 La Trobe Street,Ballarat  Vic  3350,,03 5335 1300,03 5335 1333,accounts@ballaratstationers.com.au,-1,N
177,VICROADS,GPO Box 1644,Melbourne   Vic  3001,,13 11 71,,,-1,N
178,JEFF LANG,PO Box 416,Daylesford  Vic  3460,,03 5348 5536,,jeffshaz@shymesh.com.au,-1,N
179,NEIL BLICK PYSCHOLOGIST,PO Box 2053,Ballarat MC  Vic  3354,,0438 529 699,,blick.neil@gmail.com,-1,N
180,JOHN HARBOUR QUALITY MEATS,615 Lydiard Street North,Ballarat   Vic  3350,,03 5332 4402,,jharbour@netconnect.com.au,-1,N
181,CHUBB FIRE & SECURITY (SUNWAYS),GPO Box 1605,Sydney   NSW   2001,,1800 107 644,02 9475 1457,ar.cfs.aus@chubb-sharedservices.com,-1,N
182,MODERN TEACHING AIDS PTY LTD (ST LUKES),PO Box 608,Brookvale  NSW  2100,,1800 251 497,1800 151 492,accounts@teaching.com.au,-1,N
183,TANYA HENRY,1 Tremont Court,Barwon Heads  Vic  3227,,03 5254 1514,,,-1,N
184,SHIRLEY FRYER,71 Club Crescent,Ballarat North  Vic  3350,,03 5333 1545,,shirley.fryer@optusnet.com.au,-1,N
185,UCA ARARAT CONGREGATION,PO Box 303,Ararat   Vic  3377,,,,,-1,N
186,ONLINE SYSTEM REPAIRS (REIDS),PO Box 87W,Ballarat  Vic  3350,,03 5331 6300,03 5331 6377,admin@onlinesystemrepairs.com,-1,N
187,TRANSACT VICTORIA COMMUNICATIONS (UCB),10 Neerim Crescent,Mitchell Park  Vic  3355,,03 5339 0550,03 5339 0501,enquiries@ncmail.com.au,-1,N
188,SITA AUSTRALIA PTY LTD (REIDS),GPO Box 4238,Sydney   NSW  2001,,131 335,,pay2sita@sita.com.au,-1,N
189,COUNTRY FIRE AUTHORITY (REIDS),CFA HQ,PO Box 701,Mt Waverley   Vic  3149,03 9262 8236,,ar@cfa.vic.gov.au,-1,N
190,TALAL ABDO,21 Violet Grove,Wendouree  Vic  3355,,,,,34,N
191,W.J. ROBSON & SONS PTY LTD,52-68 Main Road,Ballarat  Vic  3350,,03 5332 2078,03 5332 7075,,-1,N
192,VACUUMS BALLARAT,Norwich Plaza,Bridge Mall,Ballarat  Vic  3350,,,,-1,N
193,FIORI ARTE FLORIST (UCB),1006 Sturt Street,Ballarat   Vic  3350,,03 5331 3377,03 5332 3610,fioriarte@westnet.com.au,-1,N
194,CONCEPT CLEANING SUPPLIES (SUNWAYS),PO Box 141,Wendouree  Vic  3355,,03 5339 2025,03 5338 1712,conceptcleaning@conceptcleaningsupplies.com.au,-1,N
195,WHITFORD LIQUID WASTE,130 Wilsons Road,Haddon  Vic  3351,,03 5331 1829,,,-1,N
196,WENDOUREE NEWSAGENCY (BETHANY),1215A Howitt Street,Wendouree  Vic  3355,,03 5339 1207,03 5338 1949,,-1,N
197,ASSBI,PO Box 64,Randwick  NSW  2031,,,,,-1,N
198,AMANDAH TAYLOR,C/- 105 Dana Street,Ballarat  Vic  3350,,,,bumpyfarm@gmail.com,-1,N
199,WELFARE - BUDGET ACCOUNT,C/- Maree Bruhn,105 Dana Street,Ballarat   Vic  3350,,,,-1,N
200,THE BRAINERY,PO Box 1318,Geelong  Vic  3220,,1300 931 664,03 5248 8915,info@thebrainary.com,-1,N
201,TRANSACT VICTORIA COMMUNICATIONS (SUNWAYS),10 Neerim Crescent,Mitchell Park  Vic  3355,,1300 366 248,,enquiries@ncmail.com.au,-1,N
202,AWM ELECTRICAL & DATA SUPPLIERS,30 PEEL ST,BALLARAT VIC 3350,,03 5331 7711,03 5332 4827,,-1,N
